Human Says,Chat bot says
CCF,"The Central Computiong Facility provides various facilities to the students and staffs in the college. The Central Computing falicility is of the college is equipped with 90 Systems connected to the college LAN. Internet access is provided to the users through a 100 MBPS 1:1 Leased Line internet connectivity. Students and Staffs can use the facility for developing their skills and knowledge in varios softwares and other areas. Apart from interner browsing, programming, sofware awareness etc, many additional facilities are avilable for the uses like printing, scanning, photocoping , spiral binding etc in the CCF. The internet usage of the students and staffs are monitored and controlled by a powerful UTM (Unified Threat Management) device Sophos XG230.The Central Computing Facility in the campus supports the computing needs of the students and faculties through fully functional computer lab that houses around 90 computers. All are branded systems with TFT LCD monitor and with latest configuration. All the systems are in a single Local Area Network managed by three servers. Students get access to computer browsing, printing, scanning and other IT related services here. Many use the Facility for practicing computer programming and other advanced level IT operations under the assistance of faculties and supporting staff. The Facility functions from 9 A.M. to 6 P.M.<img src=""https://www.mbcpeermade.com/Userfiles/subBanners/5986f23ea4ae45f6a906d8ab43c8438f.jpg"">"
,
Department of Physical Education at MBC,"Physical education is an integral part of any educational programme which is designed to promote the optimum development of an individual - physically, emotionally, mentally, socially and spiritually through total body movement in the performance of properly selected physical activities.The primary aims of physical education is varied, based on the needs of the time and place. Most of the institutions’ goal is to provide students with knowledge, skills, capacities, values, and the enthusiasm to maintain a healthy lifestyle into adulthood. Activities included in the programme are designed to promote physical fitness, to develop motor skills, to instill knowledge and understanding of rules, concepts, and strategies. Students learn to either work as part of a team, or as individuals, in a wide variety of competitive activities.The Department of Physical Education at MBC is well equipped with modern infrastructure and includes activities like a green sports ground encompassing a 400 Meter athletic track, football, and cricket fields. A separate facility for handball and volleyball is also set up. A beautiful basketball court is situated on the quadrangle which is one of the centers of attraction in our College. Four shuttle badminton courts are maintained for both men and women. A well-equipped multi-gymnasium facility is available for both men and women and also have indoor game facilities such as table tennis, carroms, chess etc.Under the initiative of the Physical Education Dept. of MBC, college teams were sent to participate in various sports events organised by KTU in the present academic year. Our Cricket Team participated in the KTU Zonal Games and bagged 3rd Place in the inter-collegiate Cricket Tournament & Mr. Nibin Binoy (S2 ECE) got selected in university cricket team. Men’s and Women’s Badminton Teams participated in the Inter-Collegiate Badminton Tournament and the Women’s Team were the Runners up. College Teams also participated in Inter-Collegiate Football, Volleyball and Basket Ball competition and offered tight matches for the opponents.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Physical_Education/1.jpg"">"
,
MBC Language Lab,"Good communication skills are indispensable for the success of any professional. The English language, in particular, has become essential in the lives of young people who aspire to advance their careers anywhere in the world, making English language learning a must for any Indian student today. Language learning is not the same as learning any other subject. It is not confined to writing an examination and getting a degree or award. The four skills of reading, writing, listening and speaking have to be practiced. Being able to communicate well is the most important factor when seeking a placement in a company or institution.The Language Laboratory plays an important role in this English language learning process. Using a technological aid for learning, The Language Lab at MBCCET has a number of advanced facilities that can help a student to learn English with proficiency to communicate. The Lab is currently equipped with TELL ME MORE, an advanced virtual English language learning software that caters to the language learning needs of all category of students. The Language Lab sessions are handled by the faculties of Science & Humanities Department"
,
MBC Hostel,"The College provides residential facilities for boys, girls and the staff members. The College has two separate hostels for boys with a total intake capacity of 850 students and two hostels for girls with 600 total intake capacity. Ergonomically designed rooms provide a feeling of home away from home. MBC has been applauded as the only residential Engineering College in Kerala.MBC offers two residential hostels, on a sharing basis, for men, with a total intake capacity of 850 students. The hostels have to their merit a fully-functional 24/7 Wi-Fi access, reading room, fitness centre and recreational area. Hostels in the campus provide the best atmosphere for the academic and personal development of every student. Presence of resident tutors in the hostels is another salient feature that makes stay at MBC a life-time experience.                                                                                                                                                                                                                                                                                                                                   Features
1.850 Beds
2.2 Seperate Blocks
3.Exclusive resident warden and resident tutors for each block.                                                                                                                                                                                                                                                                                                                                                     Men's Hostel - I:
MH I hostel offers well-furnished 69 rooms for men, along with a Prayer hall, TV hall, reading room and a large mess hall.
Men's Hostel - II:
Established in 2005, MH II has 90 spacious rooms for men along with a Prayer hall, recreational room, and an adjacent large mess hall.                                                                                                                                                                                                                   Ladies' Hostels:
MBC offers two residential hostels, on a sharing basis, for women, with a total intake capacity of 600 students. The hostels have to their merit a fully-functional 24/7 Wi-Fi access, reading room, fitness centre and recreational area. Mutual cooperation, sympathy, and love provide the best atmosphere for the academic and personal development of every student and are the characteristics of Ladies’ hostel. Presence of resident tutors in the hostels is another salient feature that makes stay at MBC a life-time experience.                                                                                                                                                                                                                                                                                                                                                                                                                                     Features:
1.600 Beds
2.2 Seperate Blocks
3.Exclusive resident warden and resident tutors for each block
Ladies' Hostel - I:
LH I hostel offers well-furnished 69 rooms for women, along with a Prayer Hall, TV Hall, Reading Room and a large Mess Hall.
Ladies' Hostel - II:
Established in 2005, LH II has 90 spacious rooms for women along with a Prayer hall, Recreational Room, and an adjacent large Mess Hall.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Hostels/MensHostel1.jpg"">"
,
ICT Facility,"The institution encourages ICT enabled Teaching Learning methodologies. All the classrooms, seminar halls and the Mini Auditorium in the institution are ICT facilitated such as Projector, Sound , LAN, WiFi etc in order to ensure the effective teaching learning processes. In addtion, the Central Computing Facilities Lab, Computer Aided Design (CAD) Lab etc also have ICT facilities. All the students and staff have institutional Email IDs through which they can make use Google Classroom facilities, Group Email facilities and other G-Suite applications. The institution also proviedes round the clock WiFi facilities within the campus and the studets and staff can make use of the same.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/ICT/banner_03.jpg"">"
,
MBC Health Club,"Aiming for the all-round development and growth of the students, MBC has a fully functional Multi-Gym for students and staffs. The college has separate gym equipment for boys and girls. Interested students can use the facility in morning and evening timings according to their convenience. The Gym is controlled and instructed by the Physical Education Faculty.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Health_club/mbc_health_club.jpg"">"
,
MBC Media Centre,"The institution has a Media Centre with Recording facility, Lecture capuring Systems etc. The majour equipments in the Media Centre are
1. Camera
2. Handycam
3. Amplifier with Colour Mic, Cordless Mic etc
4. Projector Facilities
The Photos and Videos will be taken under the supervision of Media Centre. All the sound, display, wifi etc for the functions are provided by the Media Centre only.                                                                                                                                                                  <img src=""https://www.mbcpeermade.com/Userfiles/subBanners/46c907660b8344dfa36687641495b8e7.jpg"">"
,
St. Mary's chapel,"St. Mary’s chapel is seated safely in the lap of nature. Greenery of the location inspires ones soul to awake and to arise from the worries and to move ahead in one’s life by holding optimism through prayers. ‘A breathe of prayer in the morning means a day of power ’.Our St. Mary’s chapel is the perfect place to pray and to experience the peace of mind. The backdrop of the beautiful landscape inspire the students to lead a life which is pillared on worship,study and service. The serene ambience of this blessed space with the freshness of air purifies one’s thoughts and deeds. The chapel in the MBC campus serves as the centre of worship for all faiths. In addition to the main worship area, it contains space for religious activities, meditation, counseling and similar events. As music is a part of our life, our MBC choir maintains a tradition of singing for service. Almighty God is always showering His mercy. The queen of saints, St. Mary is a constant inspiration for all who seeks solace in her, the chapel plays a great role in moulding the minds of students through faith, formation, prayer, meetings, social awareness and personality development programmes as well. So,here the students are getting a space to remember their Creator in their spring time. <img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Chapel/mbc_chapel.jpg"">"
,
MBC College Bus,"MBC offers transportation facilities to day scholars and faculties for an easy acces to the college.There are seven college buses for to and fro travel from Pampady,Kumil,Kattappana on week days and kottayam,Parumala and Adoor on weekends.The college buses have experienced drivers and supporting staff for a comfortable travel.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Transportation/college_bus.jpg"">"
,
College Canteen,"The college canteen at MBC is known for serving homemade quality dishes at reasonable rates to students, staff and visitors. The Well-furnished functions on all working days as one of the sort after places in the campus, not only for physical refreshment but also for creative discussions and fond memories. The canteen is open from 7.30 A.M. to 8.00 P.M.
Along with the college canteen, MBC has a Co-operative Society Store, functioning inside the campus, to provide snacks and refreshments. The quality of the food in the store is supervised and maintained by a faculty-in-charge. The Co-operative Store is open from 8.30 A.M. to 5.00 P.M. on all working days including Saturdays.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Cafeteria/cafteria.jpg"">"
,
Fees Structure,"***Admission Fees-Rs500***Tution Fees-Rs75000(Management Quota ,Per Year)***Exam Fees-Rs3400***Other Fees=Rs11000(First Year Only),Rs5000(For Rest of the Years)***Tution Fees-Rs50,000(Government Quota)***"
,
placement,"The Placement season runs through the course of the year starting from the month of August to June. Pre-placement talks and trainings are conducted in this regard. Job opportunities, Date of interviews, Selection of candidates, Job offer letters are announced thorough the Training and Placement Cell. Being one of the pioneer Self Financing Engineering Campuses in the State, our alumnae have set excellent standards in the corporate world through their technical contributions. This legacy is deemed to continue as the Cell facilitates an extra year’s unvarying placement assistance and career guidance to the students even after the completion of their regular Engineering course in the college. We have Central Computing Facility to host any number of online test for placements.Major Recruters are:<img src=""https://www.mbcpeermade.com/userFiles/recruiters/2da27831be60407ab397d737bb0d6321.jpg "">---------------------------------------------------------------------------------------------------------------------<img src=""https://www.mbcpeermade.com/userFiles/recruiters/ab7095b0f01841dfa2ca524350e3524f.jpg"">---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------<img src=""https://www.mbcpeermade.com/userFiles/recruiters/a9fbbc442df2402b9b8451d1d54a6202.jpg "">-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------<img src=""https://www.mbcpeermade.com/userFiles/recruiters/4449da5aa5fe4e7595613dd25310ef07.jpg"">-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------<img src=""https://www.mbcpeermade.com/userFiles/recruiters/02609b6e606e4a4b94b0fc31f92dbfd3.jpg"">---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------<img src=""https://www.mbcpeermade.com/userFiles/recruiters/f3096132dd224f38b746bd1c1e6783b8.jpg"">--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------<img src=""https://www.mbcpeermade.com/userFiles/recruiters/353725579098415494e4861b46c8f092.jpg"">--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------<img src=""https://www.mbcpeermade.com/userFiles/recruiters/31e6682492c1458c9b2cf1afa3ee1ab5.jpg "">"
,
facilities,"<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('MBC Faculities')"";>Teaching Staff</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Library of the College')"";>Library</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('CCF')"";>Central Computing Facility</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Department of Physical Education at MBC')"";>Physical Education</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('MBC Language Lab')"";>Language Lab</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('MBC Hostel')"";>Hostel</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('ICT Facility')"";>ICT Facilities</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('MBC Health Club')"";>Health Club</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('MBC Media Centre')"";>Media Centre</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('St. Mary’s chapel')"";>Chapel</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('MBC College Bus')"";>Transportation</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('College Canteen')"";>Cafeteria</a><br>"
,
Library of the College,"The MBC Central library was established in the year 2001. It follows an open access system. Books are classified according to Dewey Decimal Classification Scheme. Library membership is open to all students and staff of the college. The seating capacity of library is 200. The library provides access for students to vast databases, full-text journals, audio-visual programmes in addition to an extensive collection of books. A fully computerized library, with an area of 715 Square metres, has more than 22654 volumes of text books comprising 4753 titles. The books are supplemented by CDs and microfilms.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Library/lib.jpg"">"
,
,
CCF,"The Central Computiong Facility provides various facilities to the students and staffs in the college. The Central Computing falicility is of the college is equipped with 90 Systems connected to the college LAN. Internet access is provided to the users through a 100 MBPS 1:1 Leased Line internet connectivity. Students and Staffs can use the facility for developing their skills and knowledge in varios softwares and other areas. Apart from interner browsing, programming, sofware awareness etc, many additional facilities are avilable for the uses like printing, scanning, photocoping , spiral binding etc in the CCF. The internet usage of the students and staffs are monitored and controlled by a powerful UTM (Unified Threat Management) device Sophos XG230.The Central Computing Facility in the campus supports the computing needs of the students and faculties through fully functional computer lab that houses around 90 computers. All are branded systems with TFT LCD monitor and with latest configuration. All the systems are in a single Local Area Network managed by three servers. Students get access to computer browsing, printing, scanning and other IT related services here. Many use the Facility for practicing computer programming and other advanced level IT operations under the assistance of faculties and supporting staff. The Facility functions from 9 A.M. to 6 P.M.<img src=""https://www.mbcpeermade.com/Userfiles/subBanners/5986f23ea4ae45f6a906d8ab43c8438f.jpg"">"
,
Department of Physical Education at MBC,"Physical education is an integral part of any educational programme which is designed to promote the optimum development of an individual - physically, emotionally, mentally, socially and spiritually through total body movement in the performance of properly selected physical activities.The primary aims of physical education is varied, based on the needs of the time and place. Most of the institutions’ goal is to provide students with knowledge, skills, capacities, values, and the enthusiasm to maintain a healthy lifestyle into adulthood. Activities included in the programme are designed to promote physical fitness, to develop motor skills, to instill knowledge and understanding of rules, concepts, and strategies. Students learn to either work as part of a team, or as individuals, in a wide variety of competitive activities.The Department of Physical Education at MBC is well equipped with modern infrastructure and includes activities like a green sports ground encompassing a 400 Meter athletic track, football, and cricket fields. A separate facility for handball and volleyball is also set up. A beautiful basketball court is situated on the quadrangle which is one of the centers of attraction in our College. Four shuttle badminton courts are maintained for both men and women. A well-equipped multi-gymnasium facility is available for both men and women and also have indoor game facilities such as table tennis, carroms, chess etc.Under the initiative of the Physical Education Dept. of MBC, college teams were sent to participate in various sports events organised by KTU in the present academic year. Our Cricket Team participated in the KTU Zonal Games and bagged 3rd Place in the inter-collegiate Cricket Tournament & Mr. Nibin Binoy (S2 ECE) got selected in university cricket team. Men’s and Women’s Badminton Teams participated in the Inter-Collegiate Badminton Tournament and the Women’s Team were the Runners up. College Teams also participated in Inter-Collegiate Football, Volleyball and Basket Ball competition and offered tight matches for the opponents.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Physical_Education/1.jpg"">"
,
,
MBC Language Lab,"Good communication skills are indispensable for the success of any professional. The English language, in particular, has become essential in the lives of young people who aspire to advance their careers anywhere in the world, making English language learning a must for any Indian student today. Language learning is not the same as learning any other subject. It is not confined to writing an examination and getting a degree or award. The four skills of reading, writing, listening and speaking have to be practiced. Being able to communicate well is the most important factor when seeking a placement in a company or institution.The Language Laboratory plays an important role in this English language learning process. Using a technological aid for learning, The Language Lab at MBCCET has a number of advanced facilities that can help a student to learn English with proficiency to communicate. The Lab is currently equipped with TELL ME MORE, an advanced virtual English language learning software that caters to the language learning needs of all category of students. The Language Lab sessions are handled by the faculties of Science & Humanities Department"
,
MBC Hostel,"The College provides residential facilities for boys, girls and the staff members. The College has two separate hostels for boys with a total intake capacity of 850 students and two hostels for girls with 600 total intake capacity. Ergonomically designed rooms provide a feeling of home away from home. MBC has been applauded as the only residential Engineering College in Kerala.MBC offers two residential hostels, on a sharing basis, for men, with a total intake capacity of 850 students. The hostels have to their merit a fully-functional 24/7 Wi-Fi access, reading room, fitness centre and recreational area. Hostels in the campus provide the best atmosphere for the academic and personal development of every student. Presence of resident tutors in the hostels is another salient feature that makes stay at MBC a life-time experience.                                                                                                                                                                                                                                                                                                                                   Features
1.850 Beds
2.2 Seperate Blocks
3.Exclusive resident warden and resident tutors for each block.                                                                                                                                                                                                                                                                                                                                                     Men's Hostel - I:
MH I hostel offers well-furnished 69 rooms for men, along with a Prayer hall, TV hall, reading room and a large mess hall.
Men's Hostel - II:
Established in 2005, MH II has 90 spacious rooms for men along with a Prayer hall, recreational room, and an adjacent large mess hall.                                                                                                                                                                                                                   Ladies' Hostels:
MBC offers two residential hostels, on a sharing basis, for women, with a total intake capacity of 600 students. The hostels have to their merit a fully-functional 24/7 Wi-Fi access, reading room, fitness centre and recreational area. Mutual cooperation, sympathy, and love provide the best atmosphere for the academic and personal development of every student and are the characteristics of Ladies’ hostel. Presence of resident tutors in the hostels is another salient feature that makes stay at MBC a life-time experience.                                                                                                                                                                                                                                                                                                                                                                                                                                     Features:
1.600 Beds
2.2 Seperate Blocks
3.Exclusive resident warden and resident tutors for each block
Ladies' Hostel - I:
LH I hostel offers well-furnished 69 rooms for women, along with a Prayer Hall, TV Hall, Reading Room and a large Mess Hall.
Ladies' Hostel - II:
Established in 2005, LH II has 90 spacious rooms for women along with a Prayer hall, Recreational Room, and an adjacent large Mess Hall.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Hostels/MensHostel1.jpg"">"
,
ICT Facility,"The institution encourages ICT enabled Teaching Learning methodologies. All the classrooms, seminar halls and the Mini Auditorium in the institution are ICT facilitated such as Projector, Sound , LAN, WiFi etc in order to ensure the effective teaching learning processes. In addtion, the Central Computing Facilities Lab, Computer Aided Design (CAD) Lab etc also have ICT facilities. All the students and staff have institutional Email IDs through which they can make use Google Classroom facilities, Group Email facilities and other G-Suite applications. The institution also proviedes round the clock WiFi facilities within the campus and the studets and staff can make use of the same.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/ICT/banner_03.jpg"">"
,
MBC Health Club,"Aiming for the all-round development and growth of the students, MBC has a fully functional Multi-Gym for students and staffs. The college has separate gym equipment for boys and girls. Interested students can use the facility in morning and evening timings according to their convenience. The Gym is controlled and instructed by the Physical Education Faculty.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Health_club/mbc_health_club.jpg"">"
,
MBC Media Centre,"The institution has a Media Centre with Recording facility, Lecture capuring Systems etc. The majour equipments in the Media Centre are
1. Camera
2. Handycam
3. Amplifier with Colour Mic, Cordless Mic etc
4. Projector Facilities
The Photos and Videos will be taken under the supervision of Media Centre. All the sound, display, wifi etc for the functions are provided by the Media Centre only.                                                                                                                                                                  <img src=""https://www.mbcpeermade.com/Userfiles/subBanners/46c907660b8344dfa36687641495b8e7.jpg"">"
,
St. Mary's chapel,"St. Mary’s chapel is seated safely in the lap of nature. Greenery of the location inspires ones soul to awake and to arise from the worries and to move ahead in one’s life by holding optimism through prayers. ‘A breathe of prayer in the morning means a day of power ’.Our St. Mary’s chapel is the perfect place to pray and to experience the peace of mind. The backdrop of the beautiful landscape inspire the students to lead a life which is pillared on worship,study and service. The serene ambience of this blessed space with the freshness of air purifies one’s thoughts and deeds. The chapel in the MBC campus serves as the centre of worship for all faiths. In addition to the main worship area, it contains space for religious activities, meditation, counseling and similar events. As music is a part of our life, our MBC choir maintains a tradition of singing for service. Almighty God is always showering His mercy. The queen of saints, St. Mary is a constant inspiration for all who seeks solace in her, the chapel plays a great role in moulding the minds of students through faith, formation, prayer, meetings, social awareness and personality development programmes as well. So,here the students are getting a space to remember their Creator in their spring time. <img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Chapel/mbc_chapel.jpg"">"
,
MBC College Bus,"MBC offers transportation facilities to day scholars and faculties for an easy acces to the college.There are seven college buses for to and fro travel from Pampady,Kumil,Kattappana on week days and kottayam,Parumala and Adoor on weekends.The college buses have experienced drivers and supporting staff for a comfortable travel.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Transportation/college_bus.jpg"">"
,
College Canteen,"The college canteen at MBC is known for serving homemade quality dishes at reasonable rates to students, staff and visitors. The Well-furnished functions on all working days as one of the sort after places in the campus, not only for physical refreshment but also for creative discussions and fond memories. The canteen is open from 7.30 A.M. to 8.00 P.M.
Along with the college canteen, MBC has a Co-operative Society Store, functioning inside the campus, to provide snacks and refreshments. The quality of the food in the store is supervised and maintained by a faculty-in-charge. The Co-operative Store is open from 8.30 A.M. to 5.00 P.M. on all working days including Saturdays.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Cafeteria/cafteria.jpg"">"
,
hostels,"The College provides residential facilities for boys, girls and the staff members. The College has two separate hostels for boys with a total intake capacity of 850 students and two hostels for girls with 600 total intake capacity. Ergonomically designed rooms provide a feeling of home away from home. MBC has been applauded as the only residential Engineering College in Kerala.                                                                                                                                                                                                                                                                                                                        ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Men's Hostel:                                                                                                                                                                                                                                                                                                                                                                                                                                                 MBC offers two residential hostels, on a sharing basis, for men, with a total intake capacity of 850 students. The hostels have to their merit a fully-functional 24/7 Wi-Fi access, reading room, fitness centre and recreational area. Hostels in the campus provide the best atmosphere for the academic and personal development of every student. Presence of resident tutors in the hostels is another salient feature that makes stay at MBC a life-time experience.MH I hostel offers well-furnished 69 rooms for men, along with a Prayer hall, TV hall, reading room and a large mess hall.Established in 2005, MH II has 90 spacious rooms for men along with a Prayer hall, recreational room, and an adjacent large mess hall.                                                                                                                                                                -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------                                                                                                                                                                                                                                                                                                                                             Ladie's Hostel:                                                                                                                                                                                                                                                                                                                                                                                                                                                   MBC offers two residential hostels, on a sharing basis, for women, with a total intake capacity of 600 students. The hostels have to their merit a fully-functional 24/7 Wi-Fi access, reading room, fitness centre and recreational area. Mutual cooperation, sympathy, and love provide the best atmosphere for the academic and personal development of every student and are the characteristics of Ladies’ hostel. Presence of resident tutors in the hostels is another salient feature that makes stay at MBC a life-time experience.LH I hostel offers well-furnished 69 rooms for women, along with a Prayer Hall, TV Hall, Reading Room and a large Mess Hall.Established in 2005, LH II has 90 spacious rooms for women along with a Prayer hall, Recreational Room, and an adjacent large Mess Hall.                             -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Hostels/MensHostel1.jpg"">


"
,
hostel facility,"The College provides residential facilities for boys, girls and the staff members. The College has two separate hostels for boys with a total intake capacity of 850 students and two hostels for girls with 600 total intake capacity. Ergonomically designed rooms provide a feeling of home away from home. MBC has been applauded as the only residential Engineering College in Kerala. ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------                                                                                                                                                                                                                                                                                                       Men's Hostel                                                                                                                                                                                                                                                                                                                                                                                                                                                   MBC offers two residential hostels, on a sharing basis, for men, with a total intake capacity of 850 students. The hostels have to their merit a fully-functional 24/7 Wi-Fi access, reading room, fitness centre and recreational area. Hostels in the campus provide the best atmosphere for the academic and personal development of every student. Presence of resident tutors in the hostels is another salient feature that makes stay at MBC a life-time experience.MH I hostel offers well-furnished 69 rooms for men, along with a Prayer hall, TV hall, reading room and a large mess hall.Established in 2005, MH II has 90 spacious rooms for men along with a Prayer hall, recreational room, and an adjacent large mess hall. ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------                                                                                                                                                                                                                                                                                                                                            Ladie's Hostel                                                                                                                                                                                                                                                                                                                                                                                                                                                  MBC offers two residential hostels, on a sharing basis, for women, with a total intake capacity of 600 students. The hostels have to their merit a fully-functional 24/7 Wi-Fi access, reading room, fitness centre and recreational area. Mutual cooperation, sympathy, and love provide the best atmosphere for the academic and personal development of every student and are the characteristics of Ladies’ hostel. Presence of resident tutors in the hostels is another salient feature that makes stay at MBC a life-time experience.LH I hostel offers well-furnished 69 rooms for women, along with a Prayer Hall, TV Hall, Reading Room and a large Mess Hall.Established in 2005, LH II has 90 spacious rooms for women along with a Prayer hall, Recreational Room, and an adjacent large Mess Hall.------------------------------------------------------------------------------------------------------------------------------<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Hostels/MensHostel1.jpg"">

"
,
fests,"There are mainly two fest:Thandava(coordinated by third years),Swastika (coordinated by Fourth years).Swastika------------------<img src="""">"
,
,
courses,"There are mainly Five Streams in BTech,ie Computer Science and Engineering(60 Seats),Electrical and Electronics Engineering(60 Seats),Electronics and Communication Engineering(60 Seats),Civil Engineering(60 Seats),Mechanical Engineering(60 Seats)..Which course do you prefer?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('CSE Department')"";>CSE</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('EEE Department')"";>EEE</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('EC Department')"";>EC</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('ME Department')"";>ME </a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('CE Department')"";>CE </a><br>.Do you want to join to our college. Please fill the google form: <a href=""https://docs.google.com/forms/d/e/1FAIpQLSf3maXO4kXjAXrTYZspGI82bIgOOgE2EGxSjIAGOS4kGbWwsw/viewform"">MBC Registration</a>"
,
scholarships,"The college is offering various scholarships for the B.Tech courses based on the Scholarship Examination. Scholarship Exam registration for 2022 ha Started Please click the link for register:<a href=""http://mbccet.in/2022/"">Registration</a>"
,
Which university,"Kerala Technological University(KTU).<img src=""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJZ03-x5yWcCboU1-KYA78eVAO2GmnAbwZAcf41lDto2C386NYRmB8_eGlZCyvX_bZmiU&usqp=CAU.jpg"">.KTU Student Portal:<a href=""https://app.ktu.edu.in/login.htm"">KTU Student Portal</a>"
university,"Kerala Technological University(KTU).<img src=""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJZ03-x5yWcCboU1-KYA78eVAO2GmnAbwZAcf41lDto2C386NYRmB8_eGlZCyvX_bZmiU&usqp=CAU.jpg"">.KTU Student Portal:<a href=""https://app.ktu.edu.in/login.htm"">KTU Student Portal</a>"
,
S5 Result,Result will Announce Shortly.
,
